#label	score
Pck1	7.1247
Pld1	NaN
Diaph3	NaN
Strap	NaN
Eif3g	NaN
Plcb1	NaN
Dyrk1b	NaN
Eif2s3x	NaN
Arpc1b	1.7211
Preb	NaN
Incenp	NaN
Khdrbs2	NaN
Myo1c	NaN
Ptges3	NaN
Arpc1a	NaN
Mvk	NaN
Eif3i	NaN
Cyp11a1	NaN
Dnajb1	NaN
Cpsf3	NaN
Acss2	10.4474
Acox2	NaN
Cntn6	NaN
Arpc3	NaN
Bag3	NaN
Hyou1	NaN
Ybx3	NaN
Ddx20	NaN
Alyref2	NaN
Phax	NaN
Sp5	NaN
Rcan1	NaN
Dpp7	NaN
Ifi30	NaN
Set	NaN
Cpsf1	NaN
Slco1a4	NaN
Zfyve19	NaN
Capn9	NaN
Taf1d	NaN
Exoc2	NaN
Pmvk	NaN
Ssr1	NaN
Gemin6	NaN
Rbm8a	NaN
Gemin7	NaN
Arpc2	1.6473
Gemin2	NaN
Asf1a	NaN
Mtap	4.0663
Ncbp2	NaN
Arpc5	NaN
P2ry12	NaN
Mydgf	NaN
Pecr	NaN
Rnps1	NaN
Gak	NaN
Dnajb11	NaN
Nampt	4.0785
Eps8l2	NaN
Actr3	NaN
Nxf1	NaN
Xpo6	NaN
Xpo5	NaN
Pdia6	NaN
Pdia5	NaN
Tf	NaN
Fads1	NaN
Fdps	NaN
Ptbp2	NaN
Dnajc3	NaN
Aldob	NaN
F11	NaN
Ajuba	NaN
Crtc3	NaN
Serpina3n	NaN
Frs3	NaN
Csde1	NaN
Mgst1	2.7199
Eif4a3	1.0843
Acly	NaN
Oasl1	NaN
Oas3	NaN
Sgms1	NaN
Top1mt	NaN
Ppp1r14c	NaN
Mgat5	NaN
Exoc1	NaN
Plcd1	NaN
Exoc6	NaN
Eif3c	NaN
Tat	NaN
Plcd4	NaN
Plcd3	NaN
Cyp51a1	8.5436
Acsl5	5.7998
Eif3b	NaN
Dner	NaN
Hmgcs1	NaN
Copa	NaN
Map2k7	NaN
Mknk2	NaN
Tbcel	NaN
Ikzf4	NaN
Gemin5	NaN
Eif1ax	NaN
Shc2	NaN
Eif2a	2.3813
F13a1	NaN
Eif4g3	NaN
Usp6nl	NaN
Snupn	NaN
Jaml	NaN
Dnajc6	NaN
Ifna13	NaN
Ifna12	NaN
Shc4	NaN
Poli	NaN
Exoc8	NaN
Dlgap3	NaN
Taf1c	NaN
Mylk	NaN
Eif4g1	NaN
Sec23ip	NaN
Tbc1d31	NaN
Exoc3	NaN
Pkp4	NaN
Eif3j2	NaN
Capn3	NaN
Cyp7a1	NaN
Abcg1	NaN
Ugt1a1	NaN
Vil1	NaN
Eif4g2	NaN
Speg	NaN
Phlda1	NaN
Il17a	NaN
Tfrc	3.6704
Sptbn1	4.679
Pea15	NaN
Ptafr	NaN
Myh10	5.6222
Lasp1	1.0958
Hira	NaN
Fdxr	NaN
Trim25	NaN
Alcam	NaN
Hadh	NaN
Hspa4	NaN
Lcp1	NaN
Scnn1a	NaN
Irf9	NaN
Arg1	NaN
Shc3	NaN
Asns	NaN
Dtx1	NaN
Scarb1	NaN
Kpna1	NaN
Eps15l1	NaN
Eif1a	NaN
Khdrbs1	NaN
Rgl1	NaN
Scin	NaN
Cttn	NaN
Fancb	NaN
Acaca	NaN
Deptor	NaN
Srrm1	NaN
Ubn1	NaN
Ncbp1	NaN
Eif4e1b	NaN
Sec31a	NaN
Eif3j1	NaN
Exoc5	NaN
Mgat3	NaN
Cd36	0.2851
F13b	NaN
Aplp2	NaN
Scgb1a1	NaN
F8	NaN
Top1	NaN
Smpd1	NaN
Serpina3m	2.8347
Enah	NaN
Grb7	NaN
Top2a	NaN
Col1a2	NaN
Serpina1e	NaN
Serpina1d	NaN
Serpina1c	5.0924
Apoa1	1.4429
Pld2	NaN
Smn1	NaN
Cpt1a	7.1237
Gclc	NaN
Slbp	NaN
Anxa4	9.9593
Taf1b	NaN
Taf1a	NaN
Ikzf2	NaN
Ciita	NaN
Gaa	NaN
Ldb1	NaN
Vasp	NaN
Tuba4a	NaN
Cycs	14.2244
Snrpd3	2.9696
Snrpd2	NaN
Snrpd1	NaN
Snrpf	NaN
Rps14	NaN
Ppp1cb	NaN
Magoh	3.0325
Actr2	2.1214
Eif4a1	1.1833
Arpc4	NaN
Eef2	NaN
Idi1	NaN
Atp5b	NaN
Ctsk	NaN
Aqp4	NaN
Hmgcs2	NaN
Faf1	NaN
Pklr	NaN
Sult1a1	NaN
Cpt2	5.1046
Kpna2	NaN
Atp6v0d1	NaN
Hdgf	0.0149
Adcy9	NaN
Hsd17b4	NaN
Cav3	NaN
Plcb3	NaN
Tub	NaN
Acadvl	NaN
Hsd11b1	NaN
Hcls1	NaN
Alox5	NaN
Hspa4l	NaN
Pfkm	NaN
Srprb	NaN
Cryz	NaN
Acadm	NaN
Plin2	NaN
Eps15	NaN
Sept2	5.1616
Slc11a1	NaN
Abca1	NaN
Elk4	NaN
Cap1	1.1099
Tjp1	NaN
Por	NaN
Rfc1	NaN
Ap1m1	NaN
Grin2a	NaN
Cxcr2	NaN
Gsta3	NaN
Pabpc1	NaN
Dpp4	NaN
Xrcc5	NaN
Snrpb	NaN
Klkb1	NaN
Fcgr1	NaN
Aldh1a1	NaN
Th	NaN
Mdm2	-0.317982
Eif3a	NaN
Crabp2	NaN
Zfp36	NaN
Serpina1b	1.3302
Lmnb2	NaN
C2	NaN
Cyp2a5	NaN
Gstp1	NaN
Fasn	NaN
Pcna	NaN
Hspa1b	NaN
Hspa2	NaN
F9	NaN
Ldhb	NaN
Cd44	NaN
Map1b	NaN
Calr	NaN
Gsn	NaN
Cntn1	NaN
Pfkl	NaN
Oas1a	NaN
Krt8	NaN
H1f0	NaN
Txn	NaN
Eif4a2	NaN
Anxa1	11.0477
Apoa2	NaN
Ncl	11.9229
Ifna9	NaN
Alas2	NaN
Apoe	NaN
Col4a2	NaN
Ercc1	NaN
Serpina3k	NaN
Serpina1a	7.3004
Alb	NaN
Ifna4	NaN
Ifna5	NaN
Ckm	NaN
Me1	NaN
Apoa4	NaN
H2-T23	NaN
Ldha	NaN
Krt18	NaN
Prnp	-0.317982
H2-Eb1	NaN
Fabp4	NaN
Ada	NaN
H2-Aa	NaN
H2-K1	3.1868
Ifna2	NaN
Ifna1	NaN
C3	NaN
Mtco2	NaN
Dhfr	10.5
Adh1	NaN
Cyct	NaN
Tpp1	3.2272
F10	NaN
F5	NaN
Parp2	NaN
Dhcr7	NaN
Papss2	0.8018
Tulp3	NaN
Avil	NaN
Pigr	8.7771
Diaph2	NaN
Tert	-0.317982
Ldb2	NaN
Atp2a2	NaN
Stk10	NaN
Slk	NaN
Dffa	NaN
Ctnnd2	NaN
Sp100	NaN
Hnrnph1	NaN
Kpna6	NaN
Kpna3	NaN
Kpna4	NaN
Exoc7	NaN
Cpsf2	NaN
Eftud2	5.0273
Diaph1	4.6374
Metap2	NaN
Mknk1	NaN
Alyref	NaN
Dpysl2	NaN
Oas2	NaN
Acacb	-0.317982
Kpna7	NaN
Ptpru	NaN
Exoc6b	NaN
Ckap5	NaN
Grm5	NaN
Bard1	NaN
Lingo1	NaN
Cacna1a	NaN
Rtn4r	NaN
Obscn	NaN
Gart	13.0802
Def6	NaN
Nkx3-1	NaN
Sil1	NaN
Eea1	NaN
Arl1	NaN
Ncf1	NaN
Dok1	NaN
Gpi	NaN
Vps4b	NaN
Poldip2	NaN
Ptbp3	NaN
Myf5	NaN
Actbl2	NaN
Actg2	NaN
Exoc4	NaN
Rnf8	NaN
Acsl1	6.2357
Asap3	NaN
Kdelr3	NaN
Asap2	NaN
Kdelr2	NaN
Kdelr1	NaN
Cul3	NaN
Gapdh	NaN
Map3k13	NaN
Map3k12	NaN
Mre11	NaN
Rab5c	NaN
Uprt	NaN
Uckl1	NaN
Ppp4c	NaN
Eif2ak1	NaN
Ubtf	NaN
Gng4	NaN
Adrb1	NaN
Dad1	NaN
Ube2z	NaN
Tcea1	NaN
Tardbp	13.3523
Npc1	NaN
Dynlrb1	4.5566
Slc40a1	NaN
Pml	NaN
Nrif1	NaN
Gpc3	NaN
Hspa1a	-0.317982
Cyba	NaN
Nox1	NaN
Trpc6	NaN
Pdzk1	NaN
Isx	NaN
Fkbp4	NaN
Fkbp5	NaN
Ltk	NaN
Alk	NaN
Vegfc	NaN
Dmd	NaN
Ddx58	NaN
H2afx	NaN
Fga	NaN
Fgb	7.1629
Eif2s1	NaN
Smpd2	NaN
Anp32a	NaN
Hspd1	NaN
Pepd	NaN
Pla2g1b	NaN
Ran	NaN
Rasl2-9	NaN
Ambn	NaN
Angpt4	NaN
Nectin1	NaN
Tff2	NaN
Ranbp3	NaN
Kdm6b	NaN
Aph1b	NaN
Itga3	NaN
Tsg101	NaN
Tfe3	NaN
Crtc2	NaN
Xdh	NaN
Npas3	NaN
Npas1	NaN
Pltp	NaN
Mug2	NaN
Mug1	7.8148
A2m	NaN
Ctf1	NaN
Dlg1	NaN
Dlg4	NaN
Il2ra	NaN
Arf5	NaN
Arf4	NaN
Apex1	4.6582
Hspa8	NaN
Hmga2	NaN
Rora	NaN
Trap1	6.1534
Tsc1	NaN
Ccr7	NaN
Ptgs1	NaN
Bad	NaN
Nlrp4c	NaN
Nlrp4b	NaN
Dtx4	NaN
Nlrp4a	NaN
Nlrp4e	NaN
Trex1	NaN
Sell	NaN
Ctsd	NaN
Vegfd	NaN
Smarca5	2.0344
Dnajc7	NaN
Sumo2	NaN
Nfatc2ip	NaN
Sumo3	NaN
Uba1	4.2473
Eif1	NaN
Cd14	NaN
Neurog2	NaN
Rhog	NaN
Lamc3	NaN
Adrb2	NaN
Ptger1	NaN
Cxcr3	NaN
Drd5	NaN
Ppif	NaN
Als2	NaN
Rcbtb1	NaN
Nup210l	NaN
Rcbtb2	NaN
Herc2	NaN
Rcc1	NaN
Rcc1l	NaN
Nek9	NaN
Sergef	NaN
Rpgr	NaN
Rccd1	NaN
Ncapg2	NaN
Smc4	NaN
Ncapd3	NaN
Ncaph2	NaN
Smc2	NaN
Arhgef28	NaN
Arhgef3	NaN
Ppp1r12c	NaN
Arhgap42	NaN
Arhgef18	NaN
Ppp1r12a	NaN
Arhgef15	NaN
Arhgef10l	NaN
Daam2	NaN
Net1	NaN
Ect2	NaN
Arhgap26	NaN
Myo9b	NaN
Plekhg5	NaN
Plekhg6	NaN
Ppp1r12b	NaN
Ophn1	NaN
Ppp2r1b	NaN
Iqsec1	NaN
Acap1	NaN
Acap2	NaN
Fkbp2	NaN
Rangap1	NaN
Cyth4	NaN
Gga1	NaN
Cyth1	NaN
Cyth2	NaN
